qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,598568,18772,617340
fc_a_001,ABD,5421,164,5585
fc_a_002,ABD,5483,193,5676
fc_a_003,A,4136,70,4206
fc_a_004,AD,8356,179,8535
fc_a_005,ABD,7068,168,7236
fc_a_006,A,4777,85,4862
fc_a_007,BD,8475,247,8722
fc_a_008,B,6265,143,6408
fc_a_009,ABD,7861,157,8018
fc_a_010,A,3682,91,3773
fc_a_011,AB,5682,133,5815
fc_a_012,ACD,7605,257,7862
fc_a_013,A,4612,173,4785
fc_a_014,B,7277,403,7680
fc_a_015,B,6431,128,6559
fc_a_016,ABC,6467,158,6625
fc_a_017,ABD,7018,163,7181
fc_a_018,A,4576,85,4661
fc_a_019,AB,7077,166,7243
fc_a_020,AB,5531,158,5689
fin_a_001,AB,7136,285,7421
fin_a_002,ABD,9509,285,9794
fin_a_003,A,8726,117,8843
fin_a_004,ABD,10118,219,10337
fin_a_005,ABD,6988,334,7322
fin_a_006,A,6065,170,6235
fin_a_007,ABD,8557,149,8706
fin_a_008,D,7817,162,7979
fin_a_009,ABC,7001,226,7227
fin_a_010,A,9298,77,9375
fin_a_011,ACD,9942,462,10404
fin_a_012,ABD,8846,384,9230
fin_a_013,A,8394,119,8513
fin_a_014,AB,10401,334,10735
fin_a_015,C,8995,153,9148
fin_a_016,ABD,8784,145,8929
fin_a_017,AC,10818,185,11003
fin_a_018,A,7208,256,7464
fin_a_019,AB,10486,174,10660
fin_a_020,AB,7475,230,7705
ins_a_001,B,5010,422,5432
ins_a_002,D,4148,425,4573
ins_a_003,A,5045,111,5156
ins_a_004,A,6142,207,6349
ins_a_005,ABCD,5878,214,6092
ins_a_006,A,5039,294,5333
ins_a_007,BC,5840,168,6008
ins_a_008,AC,6299,204,6503
ins_a_009,C,5560,160,5720
ins_a_010,AB,6947,143,7090
ins_a_011,BC,5983,131,6114
ins_a_012,A,7457,101,7558
ins_a_013,A,5339,133,5472
ins_a_014,ABD,7214,165,7379
ins_a_015,AB,6330,129,6459
ins_a_016,CD,7164,217,7381
ins_a_017,ABCD,5460,389,5849
ins_a_018,BCD,6348,209,6557
ins_a_019,ABCD,5179,133,5312
ins_a_020,C,5628,361,5989
reg_a_001,ACD,3244,249,3493
reg_a_002,ABC,2831,221,3052
reg_a_003,A,2875,100,2975
reg_a_004,ABC,3852,189,4041
reg_a_005,ABC,3490,327,3817
reg_a_006,A,2420,123,2543
reg_a_007,ACD,3371,229,3600
reg_a_008,A,3558,289,3847
reg_a_009,ABD,4677,276,4953
reg_a_010,A,3364,300,3664
reg_a_011,ACD,4123,343,4466
reg_a_012,ABD,3205,171,3376
reg_a_013,A,2827,113,2940
reg_a_014,ABD,2928,112,3040
reg_a_015,C,2060,160,2220
reg_a_016,ABD,3451,152,3603
reg_a_017,ABC,3379,157,3536
reg_a_018,A,2907,169,3076
reg_a_019,ABD,3954,136,4090
reg_a_020,ABD,3454,170,3624
res_a_001,ABC,6727,156,6883
res_a_002,ABC,7814,155,7969
res_a_003,A,6178,109,6287
res_a_004,AB,8087,187,8274
res_a_005,ABC,6512,125,6637
res_a_006,A,6073,98,6171
res_a_007,ABC,4909,124,5033
res_a_008,A,4552,111,4663
res_a_009,ABC,5305,121,5426
res_a_010,A,4769,52,4821
res_a_011,BC,5354,152,5506
res_a_012,ABC,4744,122,4866
res_a_013,B,5802,109,5911
res_a_014,ABC,6227,120,6347
res_a_015,A,4832,134,4966
res_a_016,ACD,6184,174,6358
res_a_017,ABD,6304,165,6469
res_a_018,A,6034,105,6139
res_a_019,AB,4714,131,4845
res_a_020,ABD,7103,233,7336
